Title,Brand,Standing.screen.display.size,Resolution,Processor.Brand,Processor.Type,Processor.Count,RAM.Size,Price,Customer.Review,Link,Times.Rated
"Hp 14S-Intel Pentium Silver N6000- 8Gb Ram/256Gb Ssd 14 Inches (35.6Cm) Hd, Micro-Edge Display (Uhd Graphics/Alexa/Dual Speakers/Fast Charge/Windows 11 Home/Ms Office), 14S- Dq3033Tu,Jet Black",HP,14,1366 x 768,Intel,Pentium,1,8 GB,28700,3.7,https://www.amazon.in/14S-Intel-Micro-Edge-Graphics-Speakers-Dq3033Tu/dp/B09S9PL2BS/ref=sr_1_27?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-27,1444
"Acer Extensa 15 Lightweight Laptop 11th Gen Intel Core i3 Processor with 15.6"" (39.6 cms) Full HD Display- (8 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics /1.7Kg/Black) EX215-54",Acer,15.6 Inches,1920 x 1080 Pixels,Intel,Core i3,1,8 GB,32990,3.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMwMjc2NzQ3MTU2OTk2OjE2NjgxNzA1NjY6c3BfYnRmOjIwMDYwMTkyMzYxNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FAcer-Lightweight-Processor-Display-Graphics%2Fdp%2FB0B5ZMZ8GF%2Fref%3Dsr_1_29_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170566%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-29-spons%26psc%3D1,1081
Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor - (8 GB/ 512 GB SSD/ Windows 11 Home/ 1.7kg/ Black/ Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display,Acer,15.6 Inches,1920 x 1080 Pixels,Intel,Core i3,1,8 GB,34990,3.5,https://www.amazon.in/Acer-Extensa-Lightweight-Laptop-Processor/dp/B0B5ZN13GV/ref=sxbs_aspa_sqa?content-id=amzn1.sym.2c602ba1-3dc9-4456-8401-359709354e80%3Aamzn1.sym.2c602ba1-3dc9-4456-8401-359709354e80&crid=21X0ZDNORCOI&cv_ct_cx=laptop&keywords=laptop&pd_rd_i=B0B5ZN13GV&pd_rd_r=8ad3c311-2c6b-45ad-99a7-29789d86413f&pd_rd_w=P0MoG&pd_rd_wg=oTOie&pf_rd_p=2c602ba1-3dc9-4456-8401-359709354e80&pf_rd_r=JX2ZAXVHX39HPC34HQY7&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-6-93291ede-2a7a-4e75-a6c2-b89c29736263,826
"ASUS Zenbook 13 OLED, 13.3-inch (33.78 cms) FHD OLED, Intel EVO Core i7-1165G7 11th Gen, Thin and Light Laptop (16GB/1TB SSD/Iris Xe Graphics/Windows 11/Office 2021/Mist/1.14 kg), UX325EA-KG701WS",ASUS,33.78 Centimetres,1920 x 1080 Pixels,Intel,Core i7,4,16 GB,79990,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTczNTQyNjAxNzAzMDI6MTY2ODE3MDY5ODpzcF9hdGZfbmV4dDoyMDA3ODc5NzYyMTk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FASUS-13-3-inch-i7-1165G7-Graphics-UX325EA-KG701WS%2Fdp%2FB09YV35X9M%2Fref%3Dsr_1_25_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170698%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-25-spons%26psc%3D1,1697
Acer Aspire 3 Laptop AMD Ryzen 3 3250U Dual-Core Processor - (Windows 11 Home/8 GB/ 256 GB SSD) A315-23 with 38.1 cm (15 Inches) FHD Display / 1.9 Kgs,Acer,15.6 Inches,1920 x 1080 Pixels,AMD,Ryzen 3,1,8 GB,30499,4,https://www.amazon.in/Acer-Aspire-Laptop-Dual-Core-Processor/dp/B0B6PTDMQQ/ref=sr_1_30?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170698&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-30,1797
"HP 250 G8 Laptop (11th Gen Intel Core i3-1115G4/8GB DDR4 Ram / 512GB SSD/Windows 10/39.62 cm (15.6 inch) HD/Intel UHD Graphics) 42V68PA (Dark Ash Silver, 1.74 kg)",HP,15.6 Inches,1366 X 768 (HD) Pixels,Intel,Core i3,2,8 GB,37799,3.6,https://www.amazon.in/HP-i3-1115G4-Windows-Graphics-42V68PA/dp/B096G1V3RC/ref=sr_1_34?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170698&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-34,1267
"Acer Aspire 3 AMD Ryzen 5 3500U Processor 15.6"" (39.6 cms) Full HD Laptop - (16 GB/512 GB SSD/Windows 11 Home/AMD Radeon Vega8 Mobile Graphics/1.9Kg/Black) A315-23",Acer,15.6 Inches,1920 x 1080 Pixels,AMD,Ryzen 5,1,16 GB,39990,3.8,https://www.amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B0BFDC4S95/ref=sr_1_35?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170698&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-35,2083
"Lenovo ThinkBook 15 Intel 11th Gen Core i3 15.6"" (39.62cm) FHD 220 nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 20VEA0YPIH",Lenovo,15.6 Inches,1920*1080,Intel,Core i3,1,8 GB,38490,3.8,https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-20VEA0YPIH/dp/B0B1DHB7P6/ref=sr_1_37?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170698&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-37,851
"Lenovo V15 G2 Laptop with AMD ryzen 3 5300u 2.6 Ghz, 4gb Ram, 512gb ssd, 15.6inch FHD, DOS, 82KDA00UIH",Lenovo,39.62 Centimetres,NA,Intel,Ryzen 3,1,4 GB,29490,3.7,https://www.amazon.in/Lenovo-Laptop-ryzen-15-6inch-82KDA00UIH/dp/B0B5N79JJ5/ref=sr_1_38?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170698&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-38,1589
"ASUS VivoBook 14 (2021), Intel Core i5-1135G7 11th Gen, 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Office 2021/Windows 11/Iris Xe Graphics/Silver/1.6 Kg), X415EA-EK572WS",ASUS,14 Inches,1920 X 1080 (FHD) Pixels,Intel,Core i5,4,8 GB,46990,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTczNTQyNjAxNzAzMDI6MTY2ODE3MDY5ODpzcF9tdGY6MjAwNDExNDcxMTY1OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FASUS-VivoBook-i5-1135G7-Graphics-X415EA-EK572WS%2Fdp%2FB09DX8FZSL%2Fref%3Dsr_1_39_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170698%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-39-spons%26psc%3D1,1820
